DATATYPE ZTEM
1 103 104 105 1 		 0.002227256 0.01011136 -0.002672907 0.01013365 -0.09839657 0.01491983 -0.03530059 0.01176503
1 106 107 108 1 		 0.03225701 0.01161285 0.01442879 0.01072144 -0.0797448 0.01398724 -0.02828687 0.01141434
1 109 110 111 1 		 0.04375312 0.01218766 0.02558119 0.01127906 -0.04785914 0.01239296 -0.02301263 0.01115063
1 112 113 114 1 		 0.0370634 0.01185317 0.02999338 0.01149967 -0.02580957 0.01129048 -0.0174131 0.01087066
1 115 116 117 1 		 0.02546367 0.01127318 0.02842469 0.01142123 -0.01404602 0.0107023 -0.01253307 0.01062665
1 118 119 120 1 		 -0.004706286 0.01023531 -0.01918602 0.0109593 -0.003257665 0.01016288 -0.01544987 0.01077249
1 121 122 123 1 		 -0.008708235 0.01043541 -0.02553587 0.01127679 -0.007524091 0.0103762 -0.022273 0.01111365
1 124 125 126 1 		 -0.0150465 0.01075233 -0.03331824 0.01166591 -0.01459899 0.01072995 -0.0313342 0.01156671
1 127 128 129 1 		 -0.02474275 0.01123714 -0.04219958 0.01210998 -0.02474275 0.01123714 -0.04219958 0.01210998
1 130 131 132 1 		 -0.04038553 0.01201928 -0.05102539 0.01255127 -0.03826021 0.01191301 -0.05361832 0.01268092
1 133 134 135 1 		 -0.06360202 0.0131801 -0.05628406 0.0128142 -0.05572808 0.0127864 -0.06273877 0.01313694
1 136 137 138 1 		 -0.08661838 0.01433092 -0.04984799 0.0124924 -0.08154141 0.01407707 -0.06367255 0.01318363
1 139 140 141 1 		 -0.06493369 0.01324668 -0.03127885 0.01156394 -0.118301 0.01591505 -0.0503235 0.01251618
1 142 143 144 1 		 0.002730129 0.01013651 -0.002857894 0.01014289 -0.1339152 0.01669576 -0.03511403 0.0117557
1 145 146 147 1 		 0.06990504 0.01349525 0.02294469 0.01114723 -0.1043233 0.01521617 -0.02567387 0.01128369
1 148 149 150 1 		 0.09042256 0.01452113 0.03730098 0.01186505 -0.05594026 0.01279701 -0.02145527 0.01107276
1 151 152 153 1 		 0.06620869 0.01331043 0.04305782 0.01215289 -0.02811065 0.01140553 -0.01601615 0.01080081
1 154 155 156 1 		 0.04107702 0.01205385 0.03901992 0.011951 -0.01488077 0.01074404 -0.01125211 0.01056261
1 157 158 159 1 		 -0.008484536 0.01042423 -0.02294289 0.01114714 -0.005230592 0.01026153 -0.01657082 0.01082854
1 160 161 162 1 		 -0.01482817 0.01074141 -0.03098645 0.01154932 -0.01176409 0.0105882 -0.02476784 0.01123839
1 163 164 165 1 		 -0.02438443 0.01121922 -0.04124937 0.01206247 -0.02332641 0.01116632 -0.03634416 0.01181721
1 166 167 168 1 		 -0.03826021 0.01191301 -0.05361832 0.01268092 -0.04038553 0.01201928 -0.05102539 0.01255127
1 169 170 171 1 		 -0.06114046 0.01305702 -0.06711269 0.01335563 -0.06114046 0.01305702 -0.06711269 0.01335563
